stwo-no-default-tests.elapsed	1	seconds
stwo-no-default-tests.status	0	status
stwo-prover-tests.elapsed	3	seconds
stwo-prover-tests.status	0	status
stwo-pcs-bench.elapsed	53	seconds
stwo-pcs-bench.status	0	status
stwo-fri-bench.elapsed	21	seconds
stwo-fri-bench.status	0	status
