criterion.stwo-zk-phase1-bench-run-1.zk_phase1_r_sampling_and_evaluation_cpu_2_16.high	1.1756	ms
criterion.stwo-zk-phase1-bench-run-1.zk_phase1_r_coefficient_sampling_cpu_2_20.low	1.5633	ms
criterion.stwo-zk-phase1-bench-run-1.zk_phase1_r_coefficient_sampling_cpu_2_20.mid	1.5644	ms
criterion.stwo-zk-phase1-bench-run-1.zk_phase1_r_coefficient_sampling_cpu_2_20.high	1.5658	ms
criterion.stwo-zk-phase1-bench-run-1.zk_phase1_r_evaluation_cpu_2_20.low	20.063	ms
criterion.stwo-zk-phase1-bench-run-1.zk_phase1_r_evaluation_cpu_2_20.mid	20.082	ms
criterion.stwo-zk-phase1-bench-run-1.zk_phase1_r_evaluation_cpu_2_20.high	20.101	ms
criterion.stwo-zk-phase1-bench-run-1.zk_phase1_r_sampling_and_evaluation_cpu_2_20.low	21.616	ms
criterion.stwo-zk-phase1-bench-run-1.zk_phase1_r_sampling_and_evaluation_cpu_2_20.mid	21.651	ms
criterion.stwo-zk-phase1-bench-run-1.zk_phase1_r_sampling_and_evaluation_cpu_2_20.high	21.732	ms
criterion.stwo-zk-phase1-bench-run-1.zk_phase1_r_commitment_cpu_2_12.low	1.1060	ms
criterion.stwo-zk-phase1-bench-run-1.zk_phase1_r_commitment_cpu_2_12.mid	1.1101	ms
criterion.stwo-zk-phase1-bench-run-1.zk_phase1_r_commitment_cpu_2_12.high	1.1143	ms
criterion.stwo-zk-phase1-bench-run-1.zk_phase1_r_commitment_cpu_2_16.low	7.3837	ms
criterion.stwo-zk-phase1-bench-run-1.zk_phase1_r_commitment_cpu_2_16.mid	7.4413	ms
criterion.stwo-zk-phase1-bench-run-1.zk_phase1_r_commitment_cpu_2_16.high	7.4786	ms
criterion.stwo-zk-phase1-bench-run-1.zk_phase1_r_commitment_cpu_2_20.low	98.463	ms
criterion.stwo-zk-phase1-bench-run-1.zk_phase1_r_commitment_cpu_2_20.mid	98.585	ms
criterion.stwo-zk-phase1-bench-run-1.zk_phase1_r_commitment_cpu_2_20.high	98.696	ms
criterion.stwo-zk-phase1-bench-run-1.zk_phase1_h_batch_addition_cpu_2_12.low	1.9985	us
criterion.stwo-zk-phase1-bench-run-1.zk_phase1_h_batch_addition_cpu_2_12.mid	2.0479	us
criterion.stwo-zk-phase1-bench-run-1.zk_phase1_h_batch_addition_cpu_2_12.high	2.0771	us
criterion.stwo-zk-phase1-bench-run-1.zk_phase1_h_batch_addition_cpu_2_16.low	27.693	us
criterion.stwo-zk-phase1-bench-run-1.zk_phase1_h_batch_addition_cpu_2_16.mid	27.803	us
